net,length_um
uartUnit.baud_rateUnit._27_,6.32µm
aluUnit._010_,6.26µm
uartUnit.uartTxUnit._053_,6.26µm
uartUnit.uartTxUnit._055_,6.26µm
uartUnit.baud_rateUnit._03_,6.225µm
uartUnit.fifoTX._021_,6.225µm
aluUnit._144_,6.18µm
uartUnit.fifoRX._056_,6.18µm
uartUnit.uartTxUnit._056_,6.18µm
aluUnit._073_,6.14µm
alu_uart_interfaceUnit._065_,6.14µm
uartUnit.fifoRX._030_,6.105µm
uartUnit.baud_rateUnit._06_,6.025µm
uartUnit.fifoRX._029_,6.025µm
uartUnit.uartRxUnit._005_,6.005µm
uartUnit.fifoRX._034_,5.965µm
uartUnit.fifoTX.array\[2\]\[2\],5.945µm
uartUnit.uartRxUnit._011_,5.895µm
alu_uart_interfaceUnit._066_,5.86µm
alu_uart_interfaceUnit._067_,5.86µm
alu_uart_interfaceUnit._071_,5.84µm
alu_uart_interfaceUnit._077_,5.8µm
alu_uart_interfaceUnit._079_,5.8µm
uartUnit.fifoTX._062_,5.8µm
uartUnit.fifoRX._013_,5.765µm
uartUnit.fifoRX._025_,5.765µm
uartUnit.uartRxUnit._010_,5.765µm
aluUnit._140_,5.72µm
alu_uart_interfaceUnit._056_,5.72µm
alu_uart_interfaceUnit._064_,5.72µm
uartUnit.fifoTX.array\[1\]\[1\],5.72µm
uartUnit.uartRxUnit._055_,5.72µm
aluUnit._079_,5.68µm
uartUnit.baud_rateUnit._10_,5.68µm
uartUnit.fifoRX._060_,5.68µm
i_reset,5.63µm
uartUnit.fifoTX._027_,5.575µm
uartUnit.fifoRX._041_,5.545µm
uartUnit.fifoTX._039_,5.505µm
alu_uart_interfaceUnit._024_,5.5µm
uartUnit.fifoRX._037_,5.475µm
uartUnit.uartTxUnit._036_,5.46µm
alu_uart_interfaceUnit._030_,5.435µm
uartUnit.baud_rateUnit._20_,5.4µm
uartUnit.uartRxUnit._041_,5.38µm
uartUnit.fifoTX.array\[3\]\[1\],5.36µm
uartUnit.uartTxUnit._050_,5.34µm
uartUnit.fifoTX._060_,5.28µm
aluUnit._044_,5.26µm
uartUnit.baud_rateUnit._11_,5.26µm
uartUnit.uartTxUnit._033_,5.26µm
uartUnit.uartTxUnit._067_,5.26µm
aluUnit._042_,5.24µm
aluUnit.i_data_b\[2\],5.22µm
uartUnit.fifoTX._015_,5.215µm
uartUnit.uartTxUnit._000_,5.16µm
alu_uart_interfaceUnit._061_,5.14µm
uartUnit.uartRxUnit._051_,5.12µm
uartUnit.fifoRX._040_,5.085µm
uartUnit.uartTxUnit._012_,5.085µm
uartUnit.uartRxUnit._017_,5.065µm
aluUnit._128_,5.06µm
uartUnit.fifoTX._007_,5.045µm
uartUnit.uartTxUnit._009_,5.045µm
aluUnit._138_,5.02µm
uartUnit.fifoRX._010_,4.975µm
uartUnit.baud_rateUnit._07_,4.965µm
aluUnit._011_,4.92µm
alu_uart_interfaceUnit._037_,4.92µm
uartUnit.uartTxUnit._037_,4.9µm
alu_uart_interfaceUnit._054_,4.88µm
alu_uart_interfaceUnit._080_,4.88µm
alu_uart_interfaceUnit._087_,4.88µm
uartUnit.uartRxUnit._053_,4.88µm
uartUnit.fifoRX._004_,4.845µm
uartUnit.uartRxUnit._001_,4.845µm
aluUnit._147_,4.82µm
alu_uart_interfaceUnit._070_,4.82µm
alu_uart_interfaceUnit._092_,4.82µm
uartUnit.fifoTX._016_,4.805µm
alu_uart_interfaceUnit._060_,4.8µm
alu_uart_interfaceUnit._073_,4.8µm
alu_uart_interfaceUnit._081_,4.8µm
uartUnit.fifoRX._055_,4.8µm
uartUnit.fifoTX.array\[1\]\[3\],4.8µm
aluUnit._130_,4.76µm
aluUnit._153_,4.76µm
uartUnit.uartTxUnit._052_,4.76µm
alu_uart_interfaceUnit._046_,4.7µm
aluUnit._036_,4.68µm
aluUnit.o_alu_result\[5\],4.66µm
uartUnit.fifoTX._003_,4.625µm
uartUnit.fifoTX._022_,4.625µm
i_uartRx,4.61µm
alu_uart_interfaceUnit._017_,4.585µm
uartUnit.uartRxUnit._033_,4.56µm
uartUnit.fifoRX._017_,4.505µm
aluUnit._033_,4.46µm
uartUnit.uartTxUnit._060_,4.46µm
uartUnit.fifoRX._033_,4.435µm
uartUnit.fifoRX._011_,4.425µm
uartUnit.uartTxUnit._001_,4.405µm
alu_uart_interfaceUnit._013_,4.385µm
uartUnit.fifoTX._020_,4.385µm
uartUnit.uartTxUnit._017_,4.385µm
uartUnit.uartTxUnit._018_,4.385µm
uartUnit.uartTxUnit._006_,4.38µm
uartUnit.fifoRX._007_,4.36µm
uartUnit.baud_rateUnit._09_,4.34µm
uartUnit.uartRxUnit._066_,4.34µm
uartUnit.uartTxUnit._051_,4.34µm
uartUnit.baud_rateUnit._05_,4.295µm
uartUnit.uartTxUnit._057_,4.22µm
uartUnit.uartTxUnit._073_,4.22µm
aluUnit._065_,4.14µm
